source	target
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Dornase alpha and exhaled NO in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of a short course of rhDNase on cough and mucociliary clearance in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of aerosolized recombinant human DNase on exacerbations of respiratory symptoms and on pulmonary function in patients with cystic fibrosis. The Pulmozyme Study Group.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of clarithromycin on airway obstruction and inflammatory markers in induced sputum in cystic fibrosis: A pilot study
http://www.ncbi.nlm.nih.gov/pubmed/17761616	EFFECT OF HIGH-DOSE IBUPROFEN IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of ibuprofen on neutrophil migration in vivo in cystic fibrosis and healthy subjects
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of long term treatment with azithromycin on disease parameters in cystic fibrosis: a randomised trial
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of montelukast on lung function and clinical symptoms in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of rbDNase on airflow obstruction and mucoiliary clearance in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effect of rhDNase on lung function and quality of life in adult cystic fibrosis patients.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effectiveness and tolerability of high-dose salmeterol in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effects of 12-week administration of dornase alfa in patients with advanced cystic fibrosis lung disease. Pulmozyme Study Group.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Effects of hypertonic saline, alternate day and daily rhDNase on healthcare use, costs and outcomes in children with cystic fibrosis"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effects of salmeterol on arterial oxyhemoglobin saturations in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effects of short-term inhaled fluticasone on oxidative burst of sputum cells in cystic fibrosis patients
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Effects of standard and high doses of salmeterol on lung function of hospitalized patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Efficacy and safety of short-term administration of aerosolised recombinant human DNase I in adults with stable stage cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	EFFICACY AND SAFETY OF SHORT-TERM ADMINISTRATION OF AEROSOLIZED RECOMBINANT HUMAN DEOXYRIBONUCLEASE IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	EFFICACY OF AEROSOLIZED TOBRAMYCIN IN PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Efficacy of human recombinant DNase in pediatric patients with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	EFFICACY OF SALBUTAMOL AND IPRATROPIUM BROMIDE IN DECREASING BRONCHIAL HYPERREACTIVITY IN CHILDREN WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Eicosapentaenoic acid in cystic fibrosis: evidence of a pathogenetic role for leukotriene B4.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Erythromycin and diffuse panbronchiolitis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	finder j
http://www.ncbi.nlm.nih.gov/pubmed/17761616	flume pa
http://www.ncbi.nlm.nih.gov/pubmed/17761616	goss ch
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"High-dose oral N-acetylcysteine, a glutathione prodrug, modulates inflammation in cystic fibrosis"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	hlazle l
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Hypertonic saline and recombinant human DNase: a randomised cross-over pilot study in patients with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	IBUPROFEN IN CHILDREN WITH CYSTIC-FIBROSIS - PHARMACOKINETICS AND ADVERSE-EFFECTS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	In vivo effects of recombinant human DNase I on sputum in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Inhaled beta-agonists improve lung function but not maximal exercise capacity in cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Inhaled bronchodilators for cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Inhaled ceftazidime compared with gentamicin and carbenicillin in older patients with cystic fibrosis infected with Pseudomonas aeruginosa.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"INTERLEUKIN-1-ALPHA, SOLUBLE INTERLEUKIN-2 RECEPTOR, AND IGG CONCENTRATIONS IN CYSTIC-FIBROSIS TREATED WITH PREDNISOLONE"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Intermittent administration of inhaled tobramycin in patients with cystic fibrosis. Cystic Fibrosis Inhaled Tobramycin Study Group.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Johns Hopkins Med Inst
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Johns Hopkins Med Inst, Dept Med, Baltimore, MD 21205 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Johns Hopkins Med Inst, Dept Pediat, Baltimore, MD 21205 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Johns Hopkins University
http://www.ncbi.nlm.nih.gov/pubmed/17761616	lesters m
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Long term azithromycin in children with cystic fibrosis: a randomised, placebo-controlled crossover trial"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	LONG-TERM EFFECTS OF INHALED TOBRAMYCIN IN PATIENTS WITH CYSTIC-FIBROSIS COLONIZED WITH PSEUDOMONAS-AERUGINOSA
http://www.ncbi.nlm.nih.gov/pubmed/17761616	LONG-TERM TOBRAMYCIN AEROSOL THERAPY IN CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Macrolide antibiotics for cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Maintenance azithromycin treatment in pediatric patients with cystic fibrosis - Long-term outcomes related to macrolide resistance and pulmonary function
http://www.ncbi.nlm.nih.gov/pubmed/17761616	marshall bc
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Med Univ S Carolina
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Med Univ S Carolina, Charleston, SC 29425 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Med Univ S Carolina, Dept Resp Therapy, Charleston, SC USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Medical University of South Carolina
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Microbiological and immunologic considerations with aerosolized drug delivery
http://www.ncbi.nlm.nih.gov/pubmed/17761616	mogayzel pj
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Mucus clearance and lung function in cystic fibrosis with hypertonic saline
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Multicenter randomized controlled trial of withdrawal of inhaled corticosteroids in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Multicenter, open-label study of recombinant human DNase in cystic fibrosis patients with moderate lung disease. DNase International Study Group."
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Nebulised anti-pseudomonal antibiotics for cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	NEBULIZED GENTAMICIN IN CHILDREN AND ADOLESCENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	o'sullivan bp
http://www.ncbi.nlm.nih.gov/pubmed/17761616	On thymus nucleic acid.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Oral acetylcysteine in cystic fibrosis. A co-operative study.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Oral steroids for cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Penn State Milton S Hershey Med Ctr
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Penn State Milton S Hershey Med Ctr, Dept Med, Hershey, PA USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Penn State University
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Pennsylvania Commonwealth System of Higher Education (PCSHE)
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Pharmacokinetics of inhaled drugs
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Pilot study to assess the effect of inhaled corticosteroids on lung function in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Placebo-controlled, double-blind, randomized study of aerosolized tobramycin for early treatment of Pseudomonas aeruginosa colonization in cystic fibrosis"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Prednisolone in the treatment of airflow obstruction in adults with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Prevalence and mechanisms of gastro-oesophageal reflux in adult cystic fibrosis patients
http://www.ncbi.nlm.nih.gov/pubmed/17761616	PROGNOSIS IN CYSTIC-FIBROSIS TREATED WITH CONTINUOUS FLUCLOXACILLIN FROM THE NEONATAL-PERIOD
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Prophylactic antibiotics for cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	PROTEASE-ANTIPROTEASE IMBALANCE IN THE LUNGS OF CHILDREN WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Pseudomonas aeruginosa and other predictors of mortality and morbidity in young children with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	PULMONARY-FUNCTION IN INFANTS WITH CYSTIC-FIBROSIS - THE EFFECT OF ANTIBIOTIC-TREATMENT
http://www.ncbi.nlm.nih.gov/pubmed/17761616	quittell l
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Randomised controlled trial of inhaled corticosteroids (fluticasone propionate) in cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Recombinant human DNase I in cystic fibrosis patients with severe pulmonary disease: a short-term, double-blind study followed by six months open-label treatment."
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Recombinant human DNase inhalation in normal subjects and patients with cystic fibrosis. A phase 1 study.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	RhDNase before airway clearance therapy improves airway patency in children with CF
http://www.ncbi.nlm.nih.gov/pubmed/17761616	robinson ka
http://www.ncbi.nlm.nih.gov/pubmed/17761616	rosenblatt r
http://www.ncbi.nlm.nih.gov/pubmed/17761616	sabadosa k
http://www.ncbi.nlm.nih.gov/pubmed/17761616	SAFETY OF AEROSOL TOBRAMYCIN ADMINISTRATION FOR 3 MONTHS TO PATIENTS WITH CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Safety of repeated intermittent courses of aerosolized recombinant human deoxyribonuclease in patients with cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Short-term efficacy of ultrasonically nebulized hypertonic saline in cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Significant microbiological effect of inhaled tobramycin in young children with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	SODIUM CROMOGLYCATE-INDUCED CHANGES IN THE DOSE-RESPONSE CURVE OF INHALED METHACHOLINE IN CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	SW Texas State Univ
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"SW Texas State Univ, Dept Med, Dallas, TX USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Systematic review of N-acetylcysteine in cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Texas Childrens Hosp
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Texas Childrens Hosp, Dept Nursing, Houston, TX 77030 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Texas State University San Marcos
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Texas State University System
http://www.ncbi.nlm.nih.gov/pubmed/17761616	THE CLINICAL EFFECT AND THE EFFECT ON THE CILIARY MOTILITY OF ORAL N-ACETYLCYSTEINE IN PATIENTS WITH CYSTIC-FIBROSIS AND PRIMARY CILIARY DYSKINESIA
http://www.ncbi.nlm.nih.gov/pubmed/17761616	THE EFFECT OF HIGH-DOSES OF INHALED SALBUTAMOL AND IPRATROPIUM BROMIDE IN PATIENTS WITH STABLE CYSTIC-FIBROSIS
http://www.ncbi.nlm.nih.gov/pubmed/17761616	The effects of albuterol on the lung function of hospitalized patients with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	The effects of the inhaled corticosteroid budesonide on lung function and bronchial hyperresponsiveness in adult patients with cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Treatment with tobramycin solution for inhalation reduces hospitalizations in young CF subjects with mild lung disease
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Two years experience with recombinant human DNase I in the treatment of pulmonary disease in cystic fibrosis.
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Univ Massachusetts
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Univ Massachusetts, Sch Med, Dept Pediat, Worcester, MA USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Univ Pittsburgh
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Univ Pittsburgh, Sch Med, Dept Pediat, Pittsburgh, PA 15261 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Univ Texas Hlth Ctr
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Univ Texas Hlth Ctr, Dept Pediat, San Antonio, TX USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Univ Washington
http://www.ncbi.nlm.nih.gov/pubmed/17761616	"Univ Washington, Dept Med, Seattle, WA USA"
http://www.ncbi.nlm.nih.gov/pubmed/17761616	University of Massachusetts System
http://www.ncbi.nlm.nih.gov/pubmed/17761616	University of Massachusetts Worcester
http://www.ncbi.nlm.nih.gov/pubmed/17761616	University of Pittsburgh
http://www.ncbi.nlm.nih.gov/pubmed/17761616	University of Texas Health Science Center San Antonio
http://www.ncbi.nlm.nih.gov/pubmed/17761616	University of Washington
http://www.ncbi.nlm.nih.gov/pubmed/17761616	University of Washington Seattle
http://www.ncbi.nlm.nih.gov/pubmed/17761616	Use of computerized tomography and chest x-rays in evaluating efficacy of aerosolized recombinant human DNase in cystic fibrosis patients younger than age 5 years: A preliminary study
http://www.ncbi.nlm.nih.gov/pubmed/17761616	vender rl
http://www.ncbi.nlm.nih.gov/pubmed/17761616	willey-courand db
http://www.ncbi.nlm.nih.gov/pubmed/17955689	canny gj
http://www.ncbi.nlm.nih.gov/pubmed/17955689	"Department of Paediatrics, University of Wisconsin, School of Medicine and Public Health, Madison, WI 53726, USA. pmfarrell@facstaff.wisc.edu"
http://www.ncbi.nlm.nih.gov/pubmed/17955689	farrell pm
http://www.ncbi.nlm.nih.gov/pubmed/17955689	foley l
http://www.ncbi.nlm.nih.gov/pubmed/17955689	joffe s
http://www.ncbi.nlm.nih.gov/pubmed/17955689	mayne p
http://www.ncbi.nlm.nih.gov/pubmed/17955689	NIDDK NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/17955689	rosenberg m
http://www.ncbi.nlm.nih.gov/pubmed/17995478	Amgen
http://www.ncbi.nlm.nih.gov/pubmed/17995478	Amgen Inc
http://www.ncbi.nlm.nih.gov/pubmed/17995478	"Amgen Inc, Global Hlth Econ & Outcomes Res, Thousand Oaks, CA USA"
http://www.ncbi.nlm.nih.gov/pubmed/17995478	Astra Zeneca
http://www.ncbi.nlm.nih.gov/pubmed/17995478	"Astra Zeneca, Hlth Econ & Outcomes, Wilmington, DE USA"
http://www.ncbi.nlm.nih.gov/pubmed/17995478	AstraZeneca
http://www.ncbi.nlm.nih.gov/pubmed/17995478	cleeland cs
http://www.ncbi.nlm.nih.gov/pubmed/17995478	kallich jd
http://www.ncbi.nlm.nih.gov/pubmed/17995478	parasuraman bm
http://www.ncbi.nlm.nih.gov/pubmed/17995478	Phase V Technol Inc
http://www.ncbi.nlm.nih.gov/pubmed/17995478	"Phase V Technol Inc, Wellesley Hills, MA 02481 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17995478	quittner al
http://www.ncbi.nlm.nih.gov/pubmed/17995478	turner rr
http://www.ncbi.nlm.nih.gov/pubmed/17995478	Univ Texas
http://www.ncbi.nlm.nih.gov/pubmed/17995478	"Univ Texas, MD Anderson Canc Ctr, Houston, TX 77030 USA"
http://www.ncbi.nlm.nih.gov/pubmed/17995478	UTMD Anderson Cancer Center
http://www.ncbi.nlm.nih.gov/pubmed/18154893	assael bm
http://www.ncbi.nlm.nih.gov/pubmed/18154893	audrezet mp
http://www.ncbi.nlm.nih.gov/pubmed/18154893	castellani c
http://www.ncbi.nlm.nih.gov/pubmed/18154893	dugueperoux i
http://www.ncbi.nlm.nih.gov/pubmed/18154893	ferec c
http://www.ncbi.nlm.nih.gov/pubmed/18154893	"Inserm U613, Brest, France. virginie.scotet@univbrest.fr"
http://www.ncbi.nlm.nih.gov/pubmed/18154893	scotet v
http://www.ncbi.nlm.nih.gov/pubmed/18154893	tamanini a
http://www.ncbi.nlm.nih.gov/pubmed/18442953	A survey of newborn screening for cystic fibrosis in Europe.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Assessing the burden of respiratory disease in the UK
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Birth prevalence and survival in cystic fibrosis - A national cohort study in the Netherlands
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Changes in fertility and family sizes in Europe.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	COMPLETE MAP OF CYSTIC-FIBROSIS MUTATION DF508 FREQUENCIES IN WESTERN-EUROPE AND CORRELATION BETWEEN MUTATION FREQUENCIES AND INCIDENCE OF DISEASE
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Cystic fibrosis birth rates in Canada: A decreasing trend since the onset of genetic testing
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Cystic fibrosis in a low-incidence population: two major mutations in Finland.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Cystic fibrosis mortality and survival in the UK: 1947-2003.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	"Cystic fibrosis mutational spectrum and genotypic/phenotypic features in Greek-Cypriots, with emphasis on dehydration as presenting symptom"
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Cystic fibrosis mutations in Romania
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Cystic fibrosis: A worldwide analysis of CFTR mutations - Correlation with incidence data and application to screening
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Demographic transition of the Swedish cystic fibrosis community - results of modern care
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Diagnosis of cystic fibrosis in the Republic of Ireland: epidemiology and costs.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Distribution of 9 common mutations in the CFTR gene in Slovak cystic fibrosis patients
http://www.ncbi.nlm.nih.gov/pubmed/18442953	farrell pm
http://www.ncbi.nlm.nih.gov/pubmed/18442953	"Identification of three novel mutations (457 TAT-->G, D192G, Q685X) in the Slovenian CF patients."
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Increased frequency of cystic fibrosis transmembrane conductance regulator gene mutations in infertile males
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Neonatal screening for the cystic fibrosis main mutation Delta F508 in Estonia
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Prenatal screening for cystic fibrosis: an economic analysis.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	The incidence of cystic fibrosis
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Time trends in birth incidence of cystic fibrosis in two European areas: data from newborn screening programs.
http://www.ncbi.nlm.nih.gov/pubmed/18442953	Univ Wisconsin
http://www.ncbi.nlm.nih.gov/pubmed/18442953	"Univ Wisconsin, Sch Med & Publ Hlth, Madison, WI 53726 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18442953	University of Wisconsin Madison
http://www.ncbi.nlm.nih.gov/pubmed/18442953	University of Wisconsin System
http://www.ncbi.nlm.nih.gov/pubmed/18442953	What is the incidence of cystic fibrosis in Italy? Data from the National Registry (1988-2001)
http://www.ncbi.nlm.nih.gov/pubmed/18442953	WHY IS THE CYSTIC-FIBROSIS GENE SO FREQUENT
http://www.ncbi.nlm.nih.gov/pubmed/1857389	boucher rc
http://www.ncbi.nlm.nih.gov/pubmed/1857389	clarke ll
http://www.ncbi.nlm.nih.gov/pubmed/1857389	knowles mr
http://www.ncbi.nlm.nih.gov/pubmed/1857389	NCRR NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/1857389	NHLBI NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/1859056	CHILDRENS HOSP & MED CTR
http://www.ncbi.nlm.nih.gov/pubmed/1859056	"CHILDRENS HOSP & MED CTR,DIV INFECT DIS,SEATTLE,WA"
http://www.ncbi.nlm.nih.gov/pubmed/1859056	"CHILDRENS HOSP & MED CTR,DIV NEONATOL,SEATTLE,WA"
http://www.ncbi.nlm.nih.gov/pubmed/1859056	gibson rl
http://www.ncbi.nlm.nih.gov/pubmed/1859056	harris k
http://www.ncbi.nlm.nih.gov/pubmed/1859056	hedges dl
http://www.ncbi.nlm.nih.gov/pubmed/1859056	lent k
http://www.ncbi.nlm.nih.gov/pubmed/1859056	ramsey bw
http://www.ncbi.nlm.nih.gov/pubmed/1859056	redding gj
http://www.ncbi.nlm.nih.gov/pubmed/1859056	richardson ma
http://www.ncbi.nlm.nih.gov/pubmed/1859056	smith al
http://www.ncbi.nlm.nih.gov/pubmed/1859056	UNIV WASHINGTON
http://www.ncbi.nlm.nih.gov/pubmed/1859056	"UNIV WASHINGTON,SCH MED,DEPT EPIDEMIOL,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/1859056	"UNIV WASHINGTON,SCH MED,DEPT PEDIAT,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/1859056	"UNIV WASHINGTON,SCH PUBL HLTH & COMMUNITY MED,SEATTLE,WA 98195"
http://www.ncbi.nlm.nih.gov/pubmed/1859056	University of Washington
http://www.ncbi.nlm.nih.gov/pubmed/1859056	University of Washington Seattle
http://www.ncbi.nlm.nih.gov/pubmed/1859056	wentz kr
http://www.ncbi.nlm.nih.gov/pubmed/1859056	williamswarren j
http://www.ncbi.nlm.nih.gov/pubmed/18639722	accurso fj
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Brigham & Womens Hosp
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Brigham & Womens Hosp, Dept Newborn Med, Boston, MA 02115 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	campbell pw
http://www.ncbi.nlm.nih.gov/pubmed/18639722	castellani c
http://www.ncbi.nlm.nih.gov/pubmed/18639722	cutting gr
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Cyst Fibrosis Fdn
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Cyst Fibrosis Fdn, Bethesda, MD 20814 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	durie pr
http://www.ncbi.nlm.nih.gov/pubmed/18639722	farrell pm
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Harvard University
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Hosp Sick Children
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Hosp Sick Children, Dept Pediat, Toronto, ON M5G 1X8, Canada"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Johns Hopkins Univ
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Johns Hopkins Univ, Dept Pediat, Baltimore, MD 21218 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Johns Hopkins Univ, Inst Med Genet, Baltimore, MD 21218 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Johns Hopkins University
http://www.ncbi.nlm.nih.gov/pubmed/18639722	legrys va
http://www.ncbi.nlm.nih.gov/pubmed/18639722	massie j
http://www.ncbi.nlm.nih.gov/pubmed/18639722	NIDDK NIH HHS
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Osped Civile
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Osped Civile, Cyst Fibrosis Ctr, I-37126 Verona, Italy"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	parad rb
http://www.ncbi.nlm.nih.gov/pubmed/18639722	rock mj
http://www.ncbi.nlm.nih.gov/pubmed/18639722	rosenstein bj
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Royal Children's Hospital Brisbane
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Royal Childrens Hosp
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Royal Childrens Hosp, Dept Resp Med, Melbourne, Vic, Australia"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Univ Colorado
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Univ Colorado, Hlth Sci Ctr, Dept Pediat, Denver, CO 80262 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Univ N Carolina
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Univ N Carolina, Dept Allied Hlth Sci, Chapel Hill, NC USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Univ Toronto
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Univ Toronto, Toronto, ON, Canada"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	Univ Wisconsin
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Univ Wisconsin, Sch Med & Publ Hlth, Dept Pediat & Populat Hlth Sci, Madison, WI USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	"Univ Wisconsin, Sch Med & Publ Hlth, Dept Pediat, Madison, WI USA"
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of Colorado Denver
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of Colorado System
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of North Carolina
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of North Carolina Chapel Hill
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of Toronto
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of Wisconsin Madison
http://www.ncbi.nlm.nih.gov/pubmed/18639722	University of Wisconsin System
http://www.ncbi.nlm.nih.gov/pubmed/18639722	white tb
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Baylor Coll Med
http://www.ncbi.nlm.nih.gov/pubmed/18658109	"Baylor Coll Med, Houston, TX 77030 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Baylor College of Medicine
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Childrens Hosp & Reg Med Ctr
http://www.ncbi.nlm.nih.gov/pubmed/18658109	"Childrens Hosp & Reg Med Ctr, Seattle, WA USA"
http://www.ncbi.nlm.nih.gov/pubmed/18658109	gibson rl
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Gilead Sci Inc
http://www.ncbi.nlm.nih.gov/pubmed/18658109	"Gilead Sci Inc, Seattle, WA USA"
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Gilead Sciences
http://www.ncbi.nlm.nih.gov/pubmed/18658109	mccoy ks
http://www.ncbi.nlm.nih.gov/pubmed/18658109	montgomery ab
http://www.ncbi.nlm.nih.gov/pubmed/18658109	oermann cm
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Ohio State Univ
http://www.ncbi.nlm.nih.gov/pubmed/18658109	"Ohio State Univ, Columbus, OH 43205 USA"
http://www.ncbi.nlm.nih.gov/pubmed/18658109	Ohio State University
http://www.ncbi.nlm.nih.gov/pubmed/18658109	quittner al
